,기준년월(STD_YM),성별코드(SEX_CD),연령대코드(AGE_CD),시간대코드(TIME_CD),구매_고객수(ACC_CNT),구매건수(PURH_CNT),구매금액(PURH_AMT),구매지역(PURH_AREA),구매_시도명(P_SIDO_NM),구매_시군구명(P_SIGNGU_NM),구매_읍면동명(P_EMD_NM),세부분류코드(DETAL_CLASS_CD),세부분류명(DETAL_CLASS_NM),통계청분류코드(STAT_CLASS_CD),통계청분류명(STAT_CLASS_NM)
150,201901,2,4,5,1,4,6000,11350621,서울특별시,노원구,중계1동,1010206,설탕,A,식료품 및 비주류음료
151,201907,2,2,5,1,2,52000,11530530,서울특별시,구로구,구로제2동,5030504,원예소품,E,가정용품 및 가사 서비스
152,201808,1,4,5,1,1,3000,11650581,서울특별시,서초구,반포4동,1011601,일반두부,A,식료품 및 비주류음료
153,201906,2,4,5,1,1,5000,11170530,서울특별시,용산구,남영동,1070101,쌀류,A,식료품 및 비주류음료
154,201910,1,5,3,1,2,20000,11680590,서울특별시,강남구,삼성2동,1080102,소주,B,주류 및 담배
155,201806,1,6,2,1,5,2000,41310,경기도,구리시,,1011107,축산소재류(냉장/냉동),A,식료품 및 비주류음료
156,201803,2,6,4,1,1,2000,11500570,서울특별시,강서구,화곡제4동,1020603,소맥스낵,A,식료품 및 비주류음료
157,201806,1,4,3,1,4,2000,11320690,서울특별시,도봉구,방학제1동,1010205,소스류,A,식료품 및 비주류음료
158,201912,2,4,3,1,1,3000,11710670,서울특별시,송파구,잠실2동,2010410,식기/젖병세정제,E,가정용품 및 가사 서비스
159,201904,2,4,3,1,1,3000,11305534,서울특별시,강북구,삼양동,1030102,과자빵류,A,식료품 및 비주류음료
160,201812,1,4,6,1,1,23000,11500620,서울특별시,강서구,공항동,1050101,사이다,A,식료품 및 비주류음료
161,201806,2,3,4,1,1,2000,11230560,서울특별시,동대문구,전농제1동,1080101,맥주,B,주류 및 담배
162,201908,2,4,5,1,1,4000,11380690,서울특별시,은평구,진관동,2010204,섬유유연제,E,가정용품 및 가사 서비스
163,201807,2,3,4,1,1,3000,11545610,서울특별시,금천구,독산제1동,1060103,호상발효유,A,식료품 및 비주류음료
164,201905,2,3,4,1,1,3000,11650530,서울특별시,서초구,서초3동,1090202,건/견과류,A,식료품 및 비주류음료
165,201807,2,3,4,1,1,6000,11230570,서울특별시,동대문구,전농제2동,1070108,조미채소,A,식료품 및 비주류음료
166,201909,2,3,4,1,1,10000,11710646,서울특별시,송파구,장지동,1010514,올리브유,A,식료품 및 비주류음료
167,201804,2,5,5,1,1,3000,11650590,서울특별시,서초구,방배본동,1010903,삼각김밥류,A,식료품 및 비주류음료
